"time","count_multi","count_single"
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.420000000122671,0,0
1.420000000122671,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.200000000320143,0,0
2.200000000320143,1,1
2.3,1,1
2.4,1,1
2.4,1,1
2.5,1,1
2.6,1,1
2.620000000122672,1,1
2.620000000122672,1,1
2.7,1,1
2.8,1,1
2.9,1,1
3,1,1
3.1,1,1
3.2,1,1
3.3,1,1
3.4,1,1
3.400000000440195,1,1
3.400000000440195,2,2
3.5,2,2
3.6,2,2
3.6,2,2
3.7,2,2
3.8,2,2
3.820000000122671,2,2
3.820000000122671,2,2
3.9,2,2
4,2,2
4.1,2,2
4.2,2,2
4.3,2,2
4.4,2,2
4.5,2,2
4.6,2,2
4.600000000560248,2,2
4.600000000560248,3,3
4.7,3,3
4.8,3,3
4.8,3,3
4.9,3,3
5,3,3
5,3,3
