"time","test","visible_output","gate.inp"
0,0,0,0
0,0,0,0
0,0,0,1
0.1,0.1,0.1,0
0.2,0.2,0.2,0
0.3,0.3,0.3,0
0.4,0.4,0.4,0
0.5,0.5,0.5,0
0.6,0.6,0.6,0
0.7,0.7,0.7,0
0.8,0.8,0.8,0
0.8,0.8,0.8,1
0.9,0.9,0.9,0
1,1,1,0
1.1,1.1,1.1,0
1.2,1.2,1.2,0
1.3,1.3,1.3,0
1.4,1.4,1.4,0
1.5,1.5,1.5,0
1.6,1.6,1.6,0
1.6,1.6,0,1
1.7,1.7,0.09999999999999984,0
1.8,1.8,0.2,0
1.800000000280008,1.800000000280008,0.2000000002800078,0
1.800000000280008,0,0.2000000002800078,0
1.9,0.09999999971999207,0.2999999999999998,0
2,0.1999999997199924,0.4000000000000001,0
2.1,0.2999999997199925,0.5000000000000002,0
2.2,0.3999999997199926,0.6000000000000003,0
2.3,0.4999999997199922,0.7,0
2.4,0.5999999997199927,0.8000000000000005,0
2.4,0.5999999997199927,0.8000000000000005,1
2.5,0.6999999997199924,0.9000000000000001,0
2.6,0.7999999997199927,1,0
2.7,0.8999999997199928,1.100000000000001,0
2.8,0.9999999997199924,1.2,0
2.9,1.099999999719993,1.3,0
3,1.199999999719993,1.400000000000001,0
3.1,1.299999999719993,1.500000000000001,0
3.2,1.399999999719993,1.600000000000001,0
3.2,1.399999999719993,0,1
3.3,1.499999999719993,0.09999999999999987,0
3.4,1.599999999719993,0.1999999999999998,0
3.400000000440031,1.600000000160024,0.2000000004400314,0
3.400000000440031,0,0.2000000004400314,0
3.5,0.09999999955996844,0.2999999999999999,0
3.6,0.1999999995599687,0.4000000000000001,0
3.7,0.2999999995599686,0.5000000000000002,0
3.8,0.3999999995599683,0.5999999999999999,0
3.9,0.4999999995599684,0.7,0
4,0.5999999995599687,0.8000000000000003,0
4,0.5999999995599687,0.8000000000000003,1
4.1,0.6999999995599685,0.9,0
4.2,0.7999999995599693,1.000000000000001,0
4.3,0.8999999995599692,1.100000000000001,0
4.4,0.9999999995599698,1.200000000000001,0
4.5,1.099999999559969,1.300000000000001,0
4.6,1.199999999559969,1.4,0
4.7,1.29999999955997,1.500000000000001,0
4.8,1.399999999559969,1.600000000000001,0
4.8,1.399999999559969,0,1
4.9,1.49999999955997,0.1000000000000006,0
5,1.599999999559969,0.2,0
5,1.599999999559969,0.2,0
