"time","visible_output","gate.inp"
0,0,0
0,0,0
0,0,1
0.1,0.1,0
0.2,0.2,0
0.3,0.3,0
0.4,0.4,0
0.5,0.5,0
0.6,0.6,0
0.7,0.7,0
0.8,0.8,0
0.8,0.8,1
0.9,0.9,0
1,1,0
1.1,1.1,0
1.2,1.2,0
1.3,1.3,0
1.4,1.4,0
1.5,1.5,0
1.6,1.6,0
1.6,0,1
1.7,0.09999999999999987,0
1.8,0.1999999999999998,0
1.9,0.2999999999999996,0
2,0.3999999999999997,0
2.1,0.4999999999999998,0
2.2,0.6000000000000001,0
2.3,0.6999999999999997,0
2.4,0.8000000000000003,0
2.4,0.8000000000000003,1
2.5,0.9,0
2.6,1,0
2.7,1.1,0
2.8,1.2,0
2.9,1.3,0
3,1.4,0
3.1,1.5,0
3.2,1.6,0
3.2,0,1
3.3,0.09999999999999964,0
3.4,0.1999999999999996,0
3.5,0.2999999999999996,0
3.6,0.3999999999999997,0
3.7,0.4999999999999998,0
3.8,0.5999999999999996,0
3.9,0.6999999999999997,0
4,0.7999999999999998,0
4,0.7999999999999998,1
4.1,0.9,0
4.2,1,0
4.3,1.100000000000001,0
4.4,1.200000000000001,0
4.5,1.300000000000001,0
4.6,1.4,0
4.7,1.500000000000001,0
4.8,1.600000000000001,0
4.8,0,1
4.9,0.1000000000000005,0
5,0.2000000000000005,0
5,0.2000000000000005,0
